No.,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations
36817,WISEA J031207.70-080741.3,48.03209,-8.12815,IrS,,,,     ,0.0,0,0,12,1,0,0,0
36818,WISEA J031207.70-075938.7,48.03209,-7.9941,IrS,,,,     ,0.0,0,0,12,1,0,0,0
36819,SDSS J031207.73-082740.8,48.03222,-8.46134,G,,,,22.6g,0.0,0,0,15,1,0,4,0
36820,SDSS J031207.73-073954.5,48.03224,-7.66514,*,,,,22.3g,0.0,0,0,5,1,0,4,0
36821,SDSS J031207.74-081700.2,48.03228,-8.2834,G,,,,22.7g,0.0,0,0,15,1,0,4,0
36822,SDSS J031207.74-082152.3,48.03229,-8.36454,G,,,,23.7g,0.0,0,0,15,1,0,4,0
36823,WISEA J031207.75-073007.2,48.0323,-7.50202,IrS,,,,     ,0.0,0,0,12,1,0,0,0
36824,WISEA J031207.75-082127.3,48.03231,-8.35759,*,,,,14.1g,0.0,0,0,30,5,0,4,0
36825,WISEA J031207.75-075440.0,48.03232,-7.91113,IrS,,,,     ,0.0,0,0,12,1,0,0,0
36826,WISEA J031207.78-080423.7,48.03244,-8.07328,IrS,,,,     ,0.0,0,0,12,1,0,0,0
36827,GALEXASC J031207.78-072147.0  ,48.03246,-7.36308,UvS,,,,     ,0.0,0,0,4,1,0,0,0
36828,WISEA J031207.80-082250.3,48.0325,-8.38066,*,,,,20.7g,0.0,0,0,21,3,0,4,0
36829,WISEA J031207.80-082416.9,48.03253,-8.4047,*,,,,19.1g,0.0,0,0,17,2,0,4,0
36830,WISEA J031207.80-081017.9,48.03254,-8.17164,IrS,,,,     ,0.0,0,0,12,1,0,0,0
36831,WISEA J031207.84-073743.8,48.03264,-7.6288,G,,,,21.7g,0.0,0,0,27,2,0,3,0
36832,SDSS J031207.83-075340.4,48.03265,-7.89456,G,,,,22.7g,0.0,0,0,15,1,0,4,0
36833,WISEA J031207.83-081833.1,48.03265,-8.30922,IrS,,,,     ,0.0,0,0,12,1,0,0,0
36834,WISEA J031207.84-074101.3,48.03268,-7.68372,IrS,,,,     ,0.0,0,0,12,1,0,0,0
